iter	RMSE
980	0.1064781469
981	0.1064729255
982	0.1064669566
983	0.1064618817
984	0.1064582833
985	0.1064554575
986	0.1064393462
987	0.106427921
988	0.106415674
989	0.1064078566
990	0.1063985048
991	0.1063939951
992	0.1063896449
993	0.1063833183
994	0.1063752425
995	0.1063704565
996	0.106366642
997	0.1063575687
998	0.1063539131
999	0.1063475279
