iter	Passed	Remaining
929	5402	406
930	5408	400
931	5414	395
932	5420	389
933	5426	383
934	5433	377
935	5439	371
936	5445	366
937	5450	360
938	5456	354
939	5462	348
940	5467	342
941	5473	336
942	5479	331
943	5484	325
944	5490	319
945	5497	313
946	5504	308
947	5510	302
948	5516	296
949	5522	290
950	5529	284
951	5535	279
952	5541	273
953	5548	267
954	5553	261
955	5559	255
956	5566	250
957	5571	244
958	5577	238
959	5582	232
960	5588	226
961	5595	221
962	5601	215
963	5607	209
964	5612	203
965	5617	197
966	5623	191
967	5628	186
968	5633	180
969	5639	174
970	5645	168
971	5650	162
972	5656	156
973	5662	151
974	5667	145
975	5673	139
976	5679	133
977	5684	127
978	5690	122
979	5695	116
980	5701	110
981	5706	104
982	5711	98
983	5717	92
984	5722	87
985	5727	81
986	5733	75
987	5738	69
988	5743	63
989	5749	58
990	5754	52
991	5759	46
992	5766	40
993	5772	34
994	5778	29
995	5784	23
996	5789	17
997	5795	11
998	5800	5
999	5806	0
